listen_id,date,source,artist,album,rating,rating_label,supergenre,genre,subgenre,release_date,notes
63,2026-03-31,Gemini,Pantera,Vulgar Display of Power,1,Bra,Metal,Groove Metal,Thrash Metal,1992-02,
64,2026-03-31,Gemini,Die Krupps,II - The Final Option,1,Bra,Industrial,Industrial Metal,EBM,1993-06,
65,2026-03-31,Gemini,Front 242,Front by Front,0,Neutral,Electronic,EBM,Industrial,1988-10,
66,2026-04-01,Gemini,Machine Head,Burn my eyes,1,Bra,Metal,Groove Metal,Thrash Metal,1994-08,
67,2026-04-01,Gemini,KMFDM,Nihil,2,Mycket bra,Industrial,Industrial Rock,Industrial Metal,1995-04,
68,2026-04-01,Gemini,White Zombie,La Sexorcisto: Devil Music Vol. 1,2,Mycket bra,Metal,Industrial Metal,Groove Metal,1992-03,
69,2026-04-01,Gemini,The Crystal Method,Vegas,1,Bra,Electronic,Breakbeat,Big Beat,1997-08,
70,2026-04-01,Gemini,Chase & Status,No more idols,0,Neutral,Electronic,Drum 'n' Bass,Liquid Funk,2011-01,
71,2026-04-01,Gemini,Front Line Assembly,Tactical Neural Implant,0,Neutral,Industrial,EBM,Electro-Industrial,1992-05,
72,2026-04-01,Gemini,Rob Zombie,Hellbilly Deluxe,1,Bra,Metal,Industrial Metal,Groove Metal,1998-08,
73,2026-04-01,Gemini,Prong,Cleansing,1,Bra,Metal,Industrial Metal,Groove Metal,1994-01,
74,2026-04-02,Gemini,Fatboy Slim,You've come a long way Baby,1,Bra,Electronic,Breakbeat,Big Beat,1998-10,
75,2026-04-02,Gemini,Static-X,Wisconsin Death Trip,1,Bra,Metal,Industrial Metal,Alternative Metal,1999-03,
76,2026-04-02,Gemini,Biohazard,State of the world address,0,Neutral,Metal,Groove Metal,Hardcore,1994-05,
77,2026-04-02,Gemini,Lee Scratch Perry,Super Ape,0,Neutral,Reggae,Dub,Roots Reggae,1976-08,
78,2026-04-02,Gemini,Ministry,The Mind is a terrible thing to taste,2,Mycket bra,Industrial,Industrial Metal,Hardcore Industrial,1989-11,
79,2026-04-02,Gemini,Propellerheads,Decksandrumsandrockandroll,1,Bra,Electronic,Breakbeat,Big Beat,1998-01,
80,2026-04-02,Gemini,Coal Chamber,Coal Chamber,0,Neutral,Metal,Nu-Metal,Alternative Metal,1997-02,
81,2026-04-02,Gemini,Skinny Puppy,Too dark park,0,Neutral,Industrial,Electro-Industrial,EBM,1990-10,
82,2026-04-03,Gemini,Junkie XL,Saturday Teenage Kick,1,Bra,Electronic,Breakbeat,Big Beat,1997-10,
83,2026-04-03,Gemini,Steve Reich,Music for 18 musicians,0,Neutral,Classical,Minimalism,Modern Classical,1978-04,
84,2026-04-03,Gemini,Godflesh,Streetcleaner,1,Bra,Industrial,Industrial Metal,Sludge Metal,1989-11,
85,2026-04-03,Gemini,Nine Inch Nails,Broken,0,Neutral,Industrial,Industrial Rock,Industrial Metal,1992-09,
86,2026-04-04,Gemini,Lard,The last temptation of Reid,1,Bra,Industrial,Industrial Metal,Hardcore Punk,1990-09,
87,2026-04-04,Gemini,Nailbomb,Point Black,0,Neutral,Metal,Industrial Metal,Thrash Metal,1994-03,
88,2026-04-04,Egen,Robyn,Sexistential,0,Neutral,Pop,Art Pop,Synth-pop,2026-03,
89,2026-04-04,Egen,José González,Against the dying of the light,0,Neutral,Rock,Indie Folk,Acoustic,2026-03,
90,2026-04-04,Gemini,Alice in Chains,Dirt,2,Mycket bra,Rock,Alternative Rock,Grunge,1992-09,
91,2026-04-04,Gemini,Joy Division,Unknown Pleasures,1,Bra,Rock,Post-Punk,Gothic Rock,1979-06,
92,2026-04-05,Gemini,Perturbator,Dangerous Days,1,Bra,Electronic,Synthwave,Darksynth,2014-06,
93,2026-04-05,Copilot,Godflesh,Pure,0,Neutral,Industrial,Industrial Metal,Post-Industrial,1992-01,
94,2026-04-05,Gemini,Killing Joke,Pandemonium,1,Bra,Rock,Industrial Rock,Post-Punk,1994-02,
95,2026-04-06,Gemini,Radiohead,Kid A,0,Neutral,Rock,Art Rock,Experimental Rock,2000-10,
96,2026-04-06,Copilot,Nine Inch Nails,Year Zero,0,Neutral,Industrial,Industrial Rock,Industrial Metal / Glitch,2007-04,
